R,state_0,state_1,state_2,state_3,state_4,state_5,HF
2.00,-108.691,-108.632,-108.563,-108.563,-108.546,-108.546,-108.31
2.45,-108.577,-108.568,-108.499,-108.498,-108.497,-108.497,-108.123
1.50,-108.913,-108.681,-108.661,-108.644,-108.644,-108.626,-108.624
1.20,-109.067,-108.724,-108.705,-108.705,-108.684,-108.684,-108.836
1.00,-109.03,-108.577,-108.577,-108.547,-108.529,-108.529,-108.835
2.35,-108.597,-108.582,-108.513,-108.513,-108.507,-108.507,-108.157
1.60,-108.86,-108.665,-108.648,-108.611,-108.61,-108.596,-108.552
1.55,-108.886,-108.665,-108.664,-108.628,-108.61,-108.603,-108.587
1.70,-108.81,-108.662,-108.613,-108.593,-108.593,-108.579,-108.484
2.60,-108.55,-108.549,-108.482,-108.482,-108.479,-108.467,-108.076
2.25,-108.62,-108.596,-108.527,-108.518,-108.518,-108.489,-108.196
1.90,-108.726,-108.644,-108.576,-108.576,-108.558,-108.558,-108.363
1.65,-108.834,-108.664,-108.631,-108.595,-108.594,-108.594,-108.517
1.75,-108.788,-108.659,-108.596,-108.59,-108.59,-108.574,-108.452
2.55,-108.559,-108.555,-108.487,-108.487,-108.485,-108.485,-108.091
1.05,-109.066,-108.639,-108.639,-108.625,-108.593,-108.593,-108.862
0.90,-108.856,-108.343,-108.343,-108.293,-108.293,-108.287,-108.679
2.05,-108.675,-108.625,-108.556,-108.556,-108.541,-108.541,-108.285
1.35,-108.997,-108.721,-108.683,-108.683,-108.68,-108.68,-108.737
2.50,-108.567,-108.562,-108.492,-108.492,-108.492,-108.492,-108.106
1.85,-108.745,-108.65,-108.581,-108.581,-108.564,-108.564,-108.391
2.30,-108.608,-108.589,-108.52,-108.52,-108.513,-108.513,-108.176
1.25,-109.048,-108.73,-108.703,-108.703,-108.691,-108.69,-108.807
2.10,-108.66,-108.618,-108.549,-108.543,-108.535,-108.535,-108.261
1.15,-109.079,-108.708,-108.698,-108.698,-108.667,-108.666,-108.857
0.95,-108.964,-108.482,-108.482,-108.434,-108.433,-108.433,-108.778
0.80,-108.455,-107.875,-107.875,-107.852,-107.852,-107.823,-108.296
2.20,-108.632,-108.603,-108.535,-108.535,-108.523,-108.523,-108.216
1.10,-109.08,-108.678,-108.678,-108.676,-108.634,-108.634,-108.868
1.30,-109.024,-108.729,-108.694,-108.694,-108.689,-108.688,-108.773
1.45,-108.941,-108.697,-108.659,-108.657,-108.655,-108.644,-108.662
2.15,-108.645,-108.611,-108.542,-108.542,-108.529,-108.529,-108.238
0.85,-108.693,-108.148,-108.148,-108.108,-108.108,-108.096,-108.525
2.40,-108.586,-108.575,-108.506,-108.502,-108.502,-108.479,-108.14
1.95,-108.708,-108.638,-108.57,-108.57,-108.552,-108.552,-108.336
1.80,-108.766,-108.655,-108.586,-108.585,-108.578,-108.569,-108.421
1.40,-108.969,-108.71,-108.672,-108.672,-108.663,-108.663,-108.7
